"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 21:33:56 ART 2023","Sun Jun 25 21:33:56 ART 2023","1","","My Incorrect Login","","","","""before all"" hook",""
"passed","Sun Jun 25 21:33:54 ART 2023","Sun Jun 25 21:33:55 ART 2023","475","","My Problem Login","","","","should add a product to the cart",""
"passed","Sun Jun 25 21:33:50 ART 2023","Sun Jun 25 21:33:51 ART 2023","709","","My Lock Out Login","","","","should show an error for user locked out",""
"passed","Sun Jun 25 21:33:50 ART 2023","Sun Jun 25 21:33:51 ART 2023","836","","My Problem Login","","","","should correctly login with standard credentials",""
"passed","Sun Jun 25 21:33:52 ART 2023","Sun Jun 25 21:33:53 ART 2023","523","","My Correct Login","","","","should retrieve the correct data from standard user view",""
"passed","Sun Jun 25 21:33:55 ART 2023","Sun Jun 25 21:33:55 ART 2023","427","","My Correct Login","","","","should add a product to the cart",""
"failed","Sun Jun 25 21:33:57 ART 2023","Sun Jun 25 21:33:57 ART 2023","2","","My Performance Glitch Login","","","","should login with standard credentials and in less than 2 seconds",""
"passed","Sun Jun 25 21:33:56 ART 2023","Sun Jun 25 21:33:56 ART 2023","99","","My Incorrect Login","","","","should show an error for fields required",""
"passed","Sun Jun 25 21:33:50 ART 2023","Sun Jun 25 21:33:50 ART 2023","6","","My Lock Out Login","","","","""before all"" hook",""
"passed","Sun Jun 25 21:33:56 ART 2023","Sun Jun 25 21:33:57 ART 2023","747","","My Incorrect Login","","","","should show an error for password required",""
"passed","Sun Jun 25 21:33:50 ART 2023","Sun Jun 25 21:33:51 ART 2023","765","","My Correct Login","","","","should retrieve the correct data from main title",""
"passed","Sun Jun 25 21:33:57 ART 2023","Sun Jun 25 21:33:58 ART 2023","793","","My Incorrect Login","","","","should show an error for username and password do not match",""
"passed","Sun Jun 25 21:33:51 ART 2023","Sun Jun 25 21:33:52 ART 2023","965","","My Correct Login","","","","should login with standard credentials and in less than 2 seconds",""
"failed","Sat Jun 24 11:46:39 ART 2023","Sat Jun 24 11:46:56 ART 2023","16842","","My Login application","","","","should login with valid credentials",""
"passed","Sun Jun 25 21:33:50 ART 2023","Sun Jun 25 21:33:50 ART 2023","4","","My Performance Glitch Login","","","","""before all"" hook",""
"unknown","Sun Jun 25 21:33:55 ART 2023","Sun Jun 25 21:33:55 ART 2023","531","","My Problem Login","","","","should remove a product to the cart",""
"passed","Sun Jun 25 21:33:50 ART 2023","Sun Jun 25 21:33:50 ART 2023","6","","My Correct Login","","","","""before all"" hook",""
"passed","Sun Jun 25 21:33:55 ART 2023","Sun Jun 25 21:33:56 ART 2023","546","","My Correct Login","","","","should remove a product to the cart",""
"passed","Sun Jun 25 21:33:53 ART 2023","Sun Jun 25 21:33:55 ART 2023","2024","","My Correct Login","","","","the image in the list of elements should match the image of the element itself",""
"passed","Sun Jun 25 21:33:50 ART 2023","Sun Jun 25 21:33:50 ART 2023","8","","My Problem Login","","","","""before all"" hook",""
"failed","Sun Jun 25 21:33:52 ART 2023","Sun Jun 25 21:33:54 ART 2023","2137","","My Problem Login","","","","the image in the list of elements should match the image of the element itself",""
